source,algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
HalfCheetah-v5,0,0.0001484411715819,0.8397366388978146,0.1425886790619978,1024.0,,,,,,765.1641025333333,198.3248776757148,162.797202894096,63.3387853758104,602.3668996392373,3
HalfCheetah-v5,0,0.0005268625872191,0.9141837865179304,0.1671570203347807,2048.0,,,,,,622.2135401666666,104.03391456098112,-153.39590634578886,80.24065780958809,775.6094465124555,3
HalfCheetah-v5,0,0.0022967843510967,0.976547425157627,0.2103642133478674,512.0,,,,,,102.03547166666668,127.04149053092524,-349.3997667654883,62.73004192958352,451.435238432155,3
HalfCheetah-v5,0,0.0036888019874035,0.9854701424337228,0.1744325966573545,2048.0,,,,,,-242.912125,119.33903157001744,-452.0914731648752,90.51466585408347,209.17934816487517,3
HalfCheetah-v5,0,0.0001240497215004,0.9548592758876964,0.1934418870211925,512.0,,,,,,596.8811300666666,228.8091480897916,-262.6098007511201,108.91004679759544,859.4909308177866,3
HalfCheetah-v5,0,0.0016004318204193,0.89025696730046,0.1623485109172384,128.0,,,,,,360.62156273333335,84.99063701106182,-450.2223234426337,58.39627017479509,810.8438861759672,3
HalfCheetah-v5,0,0.0068142009891193,0.8198905570351511,0.1234303664725325,2048.0,,,,,,189.2685841,108.87988994626971,-349.8436047700454,46.36172795248917,539.1121888700454,3
HalfCheetah-v5,0,0.0002813201817468,0.83852174182352,0.2415984843339171,128.0,,,,,,713.80701,239.50911585277532,-273.03567145024994,93.13745325303012,986.84268145025,3
HalfCheetah-v5,0,0.0001073466684656,0.9781957307766536,0.2420239381314195,2048.0,,,,,,181.71350786666665,238.7413221936015,35.60820312697758,50.39151226458761,146.10530473968905,3
HalfCheetah-v5,0,0.0007281358133788,0.9813201512913476,0.2479729792213377,1024.0,,,,,,384.56211669999993,149.98648667235432,-282.6541259507333,118.03876484584976,667.2162426507333,3
