learning_rate,gamma,batch_size,tau,buffer_size,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio
0.0072520762347347,0.9292059953000424,64,0.0055974872927312,10000,2.0,0.0,8.85,1.5256146302392355,6.85,2.95
0.0025847044179555,0.8872253717484881,64,0.0065091898722479,100000,2.0,0.0,9.2,1.74928556845359,7.199999999999999,3.0666666666666664
0.0073951012547674,0.9842859259271772,128,0.0052153286648944,10000,2.0,0.0,8.65,1.9306734576307825,6.65,2.8833333333333333
0.001457278387733,0.9723456255887074,64,0.009013830269232,10000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0032354209067102,0.8476480359288865,256,0.0074688319344061,10000,2.0,0.0,9.5,1.8303005217723127,7.5,3.1666666666666665
0.0004984344871147,0.8457729195288547,64,0.005642012720025,10000,108.05,8.236959390454707,247.15,39.97283452546241,139.10000000000002,2.2663915635029803
0.0002784226436019,0.8000335095302943,128,0.009259901222408,10000,955.15,195.4966176177992,1000.0,0.0,44.85000000000002,1.0469011725293131
0.004580904326146,0.9241455935072406,256,0.0070386122846353,10000,2.0,0.0,9.15,1.5580436450882882,7.15,3.0500000000000003
0.0002898922449006,0.891103685042788,256,0.0073086952610763,1000000,1000.0,0.0,900.95,235.93504932502088,-99.04999999999995,0.90095
0.0012735718936031,0.8948106560035674,64,0.0082752207531328,100000,100.1,0.5385164807134505,262.2,8.152300288875528,162.1,2.593471810089021
0.0002643953478333,0.8573976704206399,128,0.0087388901081255,10000,68.1,2.467792535850613,168.05,47.79798635925994,99.95000000000002,2.431982633863966
0.0002868486977796,0.9573741196241384,128,0.0075511911655448,1000000,748.3,288.45919988795646,1000.0,0.0,251.70000000000005,1.3354700854700856
0.0013655870590211,0.9235134837623514,256,0.009843785930759,1000000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0031748880091628,0.9199602918627297,256,0.0097540780326849,10000,2.0,0.0,8.6,1.7146428199482249,6.6,2.8666666666666667
0.0022745123526009,0.9793271065112592,256,0.0088426280796688,100000,2.0,0.0,9.45,1.8020821290940097,7.449999999999999,3.15
0.0021485123848192,0.818726512513363,64,0.0092162351291006,1000000,2.0,0.0,9.05,1.6575584454250774,7.050000000000001,3.016666666666667
0.0003108380361747,0.8385072190552231,256,0.0096116140797994,10000,187.7,64.01960637179832,1000.0,0.0,812.3,5.299417064122947
0.0074840714296016,0.9739138050427084,64,0.0071683294095556,1000000,2.0,0.0,9.05,1.5960889699512366,7.050000000000001,3.016666666666667
