learning_rate,gamma,batch_size,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,gap,algorithm
0.0064211487094477,0.8250713591349249,64,0.0082248687032844,0.3335613169184543,412.44839,15.408266560932791,91.24922858664786,213.3569348153821,-321.19916141335216,-321.19916141335216,3
0.0007551316474635,0.9052058874817208,256,0.0062137761099879,0.8164004698373463,422.2665265,15.221640184169145,244.4447406168678,322.6614489619055,-177.82178588313215,-177.8217858831322,3
0.0008432253522229,0.9321838314103282,256,0.005536972180295,0.1192913803292332,486.8290386000001,11.65330376031866,109.7830379011255,61.42867219981717,-377.04600069887454,-377.0460006988746,3
0.0003716191700973,0.9691016100786548,256,0.0065191709853401,0.4405966496866512,478.3327585500001,10.304197903368602,131.9642309833318,206.42537666452196,-346.3685275666683,-346.3685275666683,3
0.0011743710489485,0.987087449572884,256,0.0059989392926944,0.9399643820988524,1785.0427713500003,245.1687613419189,168.2768676578533,198.16707014040213,-1616.7659036921473,-1616.765903692147,3
0.0001030705461221,0.9350042804225728,64,0.0090227904806273,0.5144022840479937,401.4981698,5.109242749511811,188.7490357476694,284.599573758538,-212.74913405233056,-212.74913405233062,3
0.0031492568286872,0.8359596510269603,128,0.0095595483703796,0.2903239412656668,399.0848176,7.326620475612314,93.33725392199122,58.36991633181811,-305.7475636780088,-305.74756367800876,3
0.003303810281318,0.9110292243785636,128,0.0051467738192214,0.8040229621336927,434.32624890000005,22.39666855564959,348.29056435849054,397.64550547726896,-86.03568454150951,-86.03568454150951,3
0.0007122949557478,0.8210840195024709,128,0.0083070466578325,0.6858865624299004,414.8472421,11.829410924534002,286.65368161518126,359.287516864706,-128.19356048481876,-128.19356048481876,3
0.0002231597926128,0.898676288508768,128,0.0065752568667907,0.255016626468606,482.32643555,21.80266116465892,138.06375556221465,199.50387041418747,-344.2626799877854,-344.2626799877853,3
0.0014339684768951,0.883160096700037,256,0.0076781482343498,0.2838590202012585,417.1298291,4.451759467084584,152.03997115571983,204.2739721299964,-265.0898579442802,-265.0898579442802,3
0.0047967874650155,0.9952166260435522,64,0.0075992339867457,0.787788404531248,1361.5037759000002,2.301380427193645,125.10782733957168,208.5453102189395,-1236.3959485604285,-1236.3959485604285,3
0.0007607972215646,0.982068614153485,256,0.0071494600993849,0.2261455128250741,494.01685475,9.035671027725598,87.5578290360514,63.892269879805454,-406.45902571394856,-406.45902571394856,3
0.0009394892494839,0.8490196211120565,64,0.0089919571527663,0.9998902012321416,290.77041340000005,5.094818871753326,236.64514064711983,323.96374975479387,-54.12527275288022,-54.12527275288022,3
0.0049780769760095,0.9498322436762308,128,0.0054416371538641,0.4938435448560829,470.34310245,8.813696269337079,211.61242800429463,266.06584957157696,-258.7306744457053,-258.7306744457054,3
0.0001078085776188,0.964352842790899,128,0.0052284605310388,0.7864162011673227,441.44700205,15.796936413836391,68.02077865987084,74.30270346876874,-373.4262233901292,-373.42622339012917,3
0.0027586202012207,0.9277957279268596,64,0.0065769657977678,0.6213002724060598,438.8327776499999,22.78984515685068,115.91043451980222,210.5721298793639,-322.9223431301977,-322.9223431301977,3
0.0025287102856492,0.9965396795062038,256,0.0086030025317508,0.3174617260523196,1311.64639435,271.154708577844,117.62865527395624,203.9535564575908,-1194.017739076044,-1194.0177390760439,3
0.0025517843116263,0.9421039029569486,128,0.0060066802482011,0.9495916512802182,430.9474338,10.626064768256043,312.2484250659298,394.99321755591706,-118.69900873407022,-118.69900873407022,3
0.0001028052321057,0.8160280865987827,128,0.0067333839498375,0.3894263918593783,436.7431434,8.884812241070781,193.03436018771023,271.06435611833564,-243.70878321228972,-243.70878321228977,3
0.0057864731196612,0.9379399349634232,128,0.0091817853079528,0.5486196535329696,457.98082890000006,17.367787446350913,129.13654225962236,207.1519934749015,-328.84428664037773,-328.84428664037773,3
