learning_rate,gamma,clip_range,n_steps,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.003960133440906,0.8967773839457858,0.2321401336504328,1024,1000.0,0.0,1000.0,0.0,2,11277,0.0
0.0036839101948621,0.8753884668482781,0.1587570065791677,512,1000.0,0.0,1000.0,0.0,0,12478,0.0
0.0036839101948621,0.8753884668482781,0.1587570065791677,512,280.0,4.195235392680607,798.0,325.63261507410465,1,97851,-518.0
0.0036839101948621,0.8753884668482781,0.1587570065791677,512,1000.0,0.0,1000.0,0.0,2,12245,0.0
0.0028351508850375,0.911150839372561,0.176516275882717,2048,1000.0,0.0,1000.0,0.0,0,5148,0.0
0.0028351508850375,0.911150839372561,0.176516275882717,2048,1000.0,0.0,1000.0,0.0,1,86678,0.0
0.0028351508850375,0.911150839372561,0.176516275882717,2048,1000.0,0.0,1000.0,0.0,2,53882,0.0
0.0015680754160583,0.9457022383981626,0.1100422946511961,512,1000.0,0.0,1000.0,0.0,0,89615,0.0
0.0015680754160583,0.9457022383981626,0.1100422946511961,512,1000.0,0.0,1000.0,0.0,1,552,0.0
0.0015680754160583,0.9457022383981626,0.1100422946511961,512,1000.0,0.0,1000.0,0.0,2,2782,0.0
0.004075337444434,0.8736801477738043,0.1923595385633256,128,91.2,1.6,186.6,87.7156770480625,0,44401,-95.39999999999999
0.004075337444434,0.8736801477738043,0.1923595385633256,128,119.6,52.23638578615485,1000.0,0.0,1,60751,-880.4
0.004075337444434,0.8736801477738043,0.1923595385633256,128,313.7,154.19471456570747,114.6,10.75360404701605,2,95540,199.1
0.0011245950551283,0.9727149544528788,0.2363457206491714,512,1000.0,0.0,1000.0,0.0,0,61121,0.0
0.0011245950551283,0.9727149544528788,0.2363457206491714,512,1000.0,0.0,1000.0,0.0,1,81885,0.0
0.0011245950551283,0.9727149544528788,0.2363457206491714,512,1000.0,0.0,1000.0,0.0,2,65077,0.0
0.0030214590089943,0.9486015733340692,0.2464224668233469,128,1000.0,0.0,1000.0,0.0,0,68500,0.0
0.0030214590089943,0.9486015733340692,0.2464224668233469,128,71.3,2.4515301344262523,168.8,57.14507852825123,1,59189,-97.50000000000001
0.0030214590089943,0.9486015733340692,0.2464224668233469,128,402.4,2.939387691339814,242.1,232.24360055769023,2,36882,160.29999999999998
0.0012793058581019,0.8380598944389743,0.1170865931350286,2048,1000.0,0.0,1000.0,0.0,0,21495,0.0
0.0012793058581019,0.8380598944389743,0.1170865931350286,2048,1000.0,0.0,1000.0,0.0,1,6788,0.0
0.0012793058581019,0.8380598944389743,0.1170865931350286,2048,1000.0,0.0,1000.0,0.0,2,88091,0.0
0.0058142541180846,0.9335886234511064,0.2785355428663524,2048,1000.0,0.0,1000.0,0.0,0,50770,0.0
0.0058142541180846,0.9335886234511064,0.2785355428663524,2048,1000.0,0.0,1000.0,0.0,1,10520,0.0
0.0058142541180846,0.9335886234511064,0.2785355428663524,2048,1000.0,0.0,1000.0,0.0,2,23289,0.0
0.0002209646912269,0.8607150066537498,0.1837925622272092,128,1000.0,0.0,1000.0,0.0,0,72611,0.0
0.0002209646912269,0.8607150066537498,0.1837925622272092,128,1000.0,0.0,1000.0,0.0,1,66945,0.0
0.0002209646912269,0.8607150066537498,0.1837925622272092,128,1000.0,0.0,1000.0,0.0,2,54978,0.0
0.0005100642976963,0.8093154026486907,0.272452572816077,128,1000.0,0.0,1000.0,0.0,0,59641,0.0
0.0005100642976963,0.8093154026486907,0.272452572816077,128,1000.0,0.0,1000.0,0.0,1,7611,0.0
0.0005100642976963,0.8093154026486907,0.272452572816077,128,1000.0,0.0,1000.0,0.0,2,86553,0.0
0.0005812469642344,0.8347266951713186,0.2863377987619051,512,1000.0,0.0,1000.0,0.0,0,13368,0.0
0.0005812469642344,0.8347266951713186,0.2863377987619051,512,1000.0,0.0,1000.0,0.0,1,93201,0.0
0.0005812469642344,0.8347266951713186,0.2863377987619051,512,1000.0,0.0,1000.0,0.0,2,94136,0.0
0.0002309434741939,0.8764036498101478,0.1415007018614246,512,1000.0,0.0,1000.0,0.0,0,17808,0.0
0.0002309434741939,0.8764036498101478,0.1415007018614246,512,1000.0,0.0,1000.0,0.0,1,80725,0.0
0.0002309434741939,0.8764036498101478,0.1415007018614246,512,1000.0,0.0,1000.0,0.0,2,10387,0.0
0.0002803549480868,0.9248981992716266,0.1707156086090171,1024,1000.0,0.0,1000.0,0.0,0,45466,0.0
0.0002803549480868,0.9248981992716266,0.1707156086090171,1024,1000.0,0.0,1000.0,0.0,1,43630,0.0
0.0002803549480868,0.9248981992716266,0.1707156086090171,1024,1000.0,0.0,1000.0,0.0,2,24690,0.0
0.0021996671092529,0.877903707106209,0.2864187707888727,2048,1000.0,0.0,1000.0,0.0,0,68458,0.0
0.0021996671092529,0.877903707106209,0.2864187707888727,2048,1000.0,0.0,1000.0,0.0,1,67050,0.0
0.0021996671092529,0.877903707106209,0.2864187707888727,2048,339.0,1.0,864.5,16.824089871371942,2,84332,-525.5
