learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0002709386425199,0.8437266934630971,0.0079077518628475,0.0948451113075216,1000.0,0.0,1000.0,0.0,0,85541,0.0
0.0002709386425199,0.8437266934630971,0.0079077518628475,0.0948451113075216,194.2,3.893584466786357,484.7,84.52934401732927,1,51863,-290.5
0.0002709386425199,0.8437266934630971,0.0079077518628475,0.0948451113075216,1000.0,0.0,1000.0,0.0,2,29171,0.0
0.0033639371079708,0.9231414996575736,0.0078436955581154,0.0335209574598199,1000.0,0.0,1000.0,0.0,0,63490,0.0
0.0033639371079708,0.9231414996575736,0.0078436955581154,0.0335209574598199,1000.0,0.0,1000.0,0.0,1,40174,0.0
0.0033639371079708,0.9231414996575736,0.0078436955581154,0.0335209574598199,1000.0,0.0,1000.0,0.0,2,42534,0.0
0.0001343005955117,0.8995931914541373,0.0029226336179856,0.0780203922851162,1000.0,0.0,1000.0,0.0,0,70998,0.0
0.0001343005955117,0.8995931914541373,0.0029226336179856,0.0780203922851162,1000.0,0.0,1000.0,0.0,1,9240,0.0
0.0001343005955117,0.8995931914541373,0.0029226336179856,0.0780203922851162,1000.0,0.0,1000.0,0.0,2,4415,0.0
0.0037321101504754,0.8965438907864911,0.0041874619899336,0.1024235637940746,1000.0,0.0,1000.0,0.0,0,52202,0.0
0.0037321101504754,0.8965438907864911,0.0041874619899336,0.1024235637940746,1000.0,0.0,1000.0,0.0,1,55937,0.0
0.0037321101504754,0.8965438907864911,0.0041874619899336,0.1024235637940746,1000.0,0.0,1000.0,0.0,2,80466,0.0
0.0078621930303586,0.9341909431053452,0.004363462058754,0.0884914929965876,1000.0,0.0,1000.0,0.0,0,22325,0.0
0.0078621930303586,0.9341909431053452,0.004363462058754,0.0884914929965876,1000.0,0.0,1000.0,0.0,1,2022,0.0
0.0078621930303586,0.9341909431053452,0.004363462058754,0.0884914929965876,1000.0,0.0,1000.0,0.0,2,69681,0.0
0.0007022252340647,0.8198221008472231,0.0031857746784319,0.1193869000877915,1000.0,0.0,1000.0,0.0,0,94125,0.0
0.0007022252340647,0.8198221008472231,0.0031857746784319,0.1193869000877915,1000.0,0.0,1000.0,0.0,1,6489,0.0
0.0007022252340647,0.8198221008472231,0.0031857746784319,0.1193869000877915,1000.0,0.0,1000.0,0.0,2,46890,0.0
0.0056200453653875,0.8357496281955756,0.0026581533195049,0.1285084169193165,1000.0,0.0,1000.0,0.0,0,27982,0.0
