learning_rate,gamma,gae_lambda,vf_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0056537608931472,0.9181978512801632,0.9284448436781504,0.7284798907875091,4.0,0.0,16.6,4.543126676640219,2,5323,-12.600000000000001
0.0008042512872255,0.8792467072142576,0.940670795210085,0.3932563702461161,1000.0,0.0,1000.0,0.0,0,92345,0.0
0.0008042512872255,0.8792467072142576,0.940670795210085,0.3932563702461161,1000.0,0.0,1000.0,0.0,1,14205,0.0
0.0008042512872255,0.8792467072142576,0.940670795210085,0.3932563702461161,1000.0,0.0,1000.0,0.0,2,43271,0.0
0.0004569416650475,0.9346496663135764,0.921627027164068,0.2820060538239258,1000.0,0.0,1000.0,0.0,0,77522,0.0
0.0004569416650475,0.9346496663135764,0.921627027164068,0.2820060538239258,1000.0,0.0,1000.0,0.0,1,63883,0.0
0.0004569416650475,0.9346496663135764,0.921627027164068,0.2820060538239258,1000.0,0.0,1000.0,0.0,2,27190,0.0
0.0004368036698312,0.9166591507272938,0.9819671453479708,0.808544526974533,1000.0,0.0,1000.0,0.0,0,3690,0.0
0.0004368036698312,0.9166591507272938,0.9819671453479708,0.808544526974533,1000.0,0.0,1000.0,0.0,1,61434,0.0
0.0004368036698312,0.9166591507272938,0.9819671453479708,0.808544526974533,1000.0,0.0,1000.0,0.0,2,77155,0.0
0.0002195925149873,0.9660618578836494,0.9674516772490026,0.7566718580327798,1000.0,0.0,1000.0,0.0,0,75654,0.0
0.0002195925149873,0.9660618578836494,0.9674516772490026,0.7566718580327798,1000.0,0.0,1000.0,0.0,1,26461,0.0
0.0002195925149873,0.9660618578836494,0.9674516772490026,0.7566718580327798,1000.0,0.0,1000.0,0.0,2,97189,0.0
0.0086633815860307,0.9577477564735744,0.9237403188955672,0.4238694643864181,21.8,6.193545026880809,39.5,19.402319448973103,0,12705,-17.7
0.0086633815860307,0.9577477564735744,0.9237403188955672,0.4238694643864181,2.0,0.0,8.5,1.3601470508735445,1,60115,-6.5
0.0086633815860307,0.9577477564735744,0.9237403188955672,0.4238694643864181,2.0,0.0,9.4,1.743559577416269,2,21715,-7.4
