learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0.00163424367421,0.9468221694614498,0.0037451897812782,0.0725333439068975,1000.0,0.0,1000.0,0.0,0.0,3
0.0099060339757142,0.8370391519654504,0.005432012176951,0.0552302861762742,1000.0,0.0,1000.0,0.0,0.0,3
0.0020300882299387,0.94615346620434,0.0092049999371155,0.05072842469479,1000.0,0.0,1000.0,0.0,0.0,3
0.0001134800627031,0.8948739885925499,0.0034347030185632,0.1731133990263928,1000.0,0.0,1000.0,0.0,0.0,3
0.0012361372658464,0.9748990534416846,0.0072745076242521,0.0720264755433726,1000.0,0.0,1000.0,0.0,0.0,3
0.0002527678236774,0.8909038451241289,0.0046492838700949,0.1707474216242281,1000.0,0.0,1000.0,0.0,0.0,3
0.0005978662138879,0.947971465851297,0.0046489663302516,0.1847795134756755,1000.0,0.0,1000.0,0.0,0.0,3
0.0040632820012313,0.8684436509672057,0.0087980897494941,0.1001610027088815,1000.0,0.0,1000.0,0.0,0.0,3
0.0002790018700992,0.987005694878607,0.0058439914552317,0.0133792301998499,1000.0,0.0,1000.0,0.0,0.0,3
0.0002605420628309,0.8518262897065251,0.0097126225480662,0.0221363811435282,474.6666666666667,13.39723998933936,600.3000000000001,56.03424820122279,-125.63333333333333,3
0.0079724852667702,0.8132958968876575,0.0072123129953691,0.092162063729345,1000.0,0.0,1000.0,0.0,0.0,3
0.0017529964611389,0.8679019291191972,0.0026586724285395,0.1018859548040039,1000.0,0.0,1000.0,0.0,0.0,3
0.0037299765617316,0.8433711036307759,0.0040215850133599,0.0112538250036135,689.9333333333334,0.2494438257849294,725.6999999999999,2.3918844267880317,-35.766666666666666,3
0.0015559086653034,0.9830001934468494,0.0044403107669361,0.1355714972803896,1000.0,0.0,1000.0,0.0,0.0,3
0.0038403490704726,0.9149399285500088,0.0038978601927588,0.1084575304696008,1000.0,0.0,1000.0,0.0,0.0,3
0.0041666712926569,0.9950375727335498,0.0027674511724606,0.089614410173768,1000.0,0.0,1000.0,0.0,0.0,3
0.0001630410338182,0.9323876083529212,0.0095234371356002,0.0920629053434555,1000.0,0.0,1000.0,0.0,0.0,3
0.0001575598708738,0.9802811619501368,0.0098722364676068,0.0491444476001596,1000.0,0.0,1000.0,0.0,0.0,3
0.0011307970906123,0.9488350548022244,0.0069987077225516,0.1252790746095641,1000.0,0.0,1000.0,0.0,0.0,3
0.0002136218779497,0.921752624032315,0.0010835217697102,0.1718408021254322,1000.0,0.0,1000.0,0.0,0.0,3
0.0025011058436337,0.9374402039891748,0.0087131272557752,0.0810838472462231,1000.0,0.0,1000.0,0.0,0.0,3
0.0003094294190853,0.8225325942483395,0.0015027541659755,0.1456046998107388,1000.0,0.0,1000.0,0.0,0.0,3
0.0011265997558513,0.8628598451770765,0.0046397079002306,0.1648847676090611,1000.0,0.0,1000.0,0.0,0.0,3
0.0059299805936875,0.8455786083604098,0.0051275742381115,0.019848605868674,757.6999999999999,22.975566732219395,1000.0,0.0,-242.29999999999998,3
0.000231268260955,0.8079472327822033,0.0045920664429033,0.0810670103865354,1000.0,0.0,1000.0,0.0,0.0,3
0.0001268281201327,0.8078998858848571,0.0095698832845236,0.0584969017665571,432.1666666666667,4.3480999309972415,578.1,110.78857315555622,-145.93333333333334,3
0.0002925517273249,0.983292130654276,0.0049740280561574,0.1543944333282748,1000.0,0.0,1000.0,0.0,0.0,3
0.0005161543100791,0.9768568711047946,0.0010495077740784,0.1298966454822665,1000.0,0.0,1000.0,0.0,0.0,3
0.0004376964563181,0.9279445901256904,0.0072122792834876,0.1695039278609827,1000.0,0.0,1000.0,0.0,0.0,3
0.0030877731937315,0.9270014870307648,0.0044712837023052,0.0426159420254251,1000.0,0.0,1000.0,0.0,0.0,3
0.0006645918724533,0.8265637921405153,0.0073994135986512,0.1272818672884542,1000.0,0.0,1000.0,0.0,0.0,3
0.0021858097450644,0.8272866691884835,0.0098330613248092,0.0631280902260765,1000.0,0.0,1000.0,0.0,0.0,3
0.0017145571294241,0.9484314166159744,0.0020057061557815,0.075117554525764,1000.0,0.0,1000.0,0.0,0.0,3
0.0001148943675181,0.9543965380655802,0.0047845459556925,0.1519356353909928,1050.2769134333332,23.699440363580326,-123.4387220508191,53.35690653181435,1173.7156354841525,3
0.0051269632749256,0.8147786742264957,0.0053673424266873,0.1758318417715822,678.5384378333334,8.825449827911122,-67.04257457535228,22.661006609085774,745.5810124086856,3
0.0069415329834835,0.8116353694043767,0.0040230380074723,0.1074751398896034,1369.1949127666667,33.245328398795614,-100.83414964175414,62.69176296674443,1470.0290624084207,3
0.0001135458431642,0.9910195404095472,0.0042589167648855,0.045093585239276,2703.706002133333,171.86350116840154,-192.97375943378404,81.73209375375504,2896.679761567117,3
0.0001522886443463,0.9866172406028716,0.0071387159006096,0.1123585521700937,2484.8860809666667,57.89738426643538,-149.87918634741243,25.18995101242308,2634.7652673140788,3
0.0009538022293271,0.8824950510092671,0.0098869069666787,0.176529195671595,1331.3511926666667,157.00956046310702,-119.78464397715847,25.693355478863094,1451.1358366438253,3
